dataset,mean_mcc,std_mcc
10_7717_peerj_5665_dataYM2018_neuroblastoma,0.49671770573735397,0.13887499855988922
dataset_Belgrade2021_pediatric_brain_tumor_plos_one_0259095_cleaned,0.8094569253933385,0.08085317106310315
dataset_Taipei2018_colorectal_cancer_EHRs_plos_one_0200893_final_cleaned,0.19457843714291617,0.06311812531151736
journal.pone.0148699_S1_Text_Sepsis_SIRS_EDITED,0.5098573883242681,0.08961824709977058
journal.pone.0158570_S2File_depression_heart_failure,0.9957575086535249,0.016877331921061355
